Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume
2022-05-02,156.71,158.23,153.27,157.96,123055265,277.71,284.94,276.22,284.47,35151105,113.405,116.74549999999999,112.6,116.583,35533020,185.405,195.74,183.91,195.33,57204868,122.401,124.66824999999999,118.375,124.5,148788980
2022-05-03,158.15,160.71,156.32,159.48,88966526,283.96,284.13,280.15,281.78,25978605,116.43050000000001,118.44182,116.03450000000001,117.33399999999999,24967360,194.0,198.25,191.33,196.02,47575084,124.05350000000001,126.22049999999999,122.825,124.2535,79133360
2022-05-04,159.67,166.48,159.26,166.02,108256503,282.59,290.88,276.73,289.98,33599320,117.03150000000001,122.8545,115.11600000000001,122.261,49915280,199.23,204.0,187.51,203.34,64885463,123.6,126.0,119.18299999999999,125.92850000000001,110745360
2022-05-05,163.85,164.08,154.95,156.77,130525275,285.54,286.35,274.34,277.35,43260386,120.204,121.03900000000002,115.00574999999999,116.50550000000001,45840580,198.67,199.25,185.0,188.44,62633141,123.0,123.499,115.07249999999999,116.407,144391220
2022-05-06,156.01,159.44,154.18,157.28,116124647,274.805,279.25,271.27,274.73,37780322,115.1845,117.57149999999999,114.0155,115.7465,39709580,187.36,195.12,179.9,186.75,63329672,114.85,119.05050000000001,113.08125,114.7725,124259900
2022-05-09,154.925,155.83,151.49,152.06,131577921,270.06,272.36,263.32,264.58,47725952,113.25,115.07709,112.00051,112.511,40802860,180.34,182.55,168.27,169.5,64445451,111.3125,114.0,107.957,108.78900000000002,128124380
2022-05-10,155.52,156.74,152.93,154.51,115366736,271.69,273.75,265.07,269.5,39336424,115.50750000000001,116.25,112.90050000000001,114.39500000000001,39900380,176.89,181.98,170.25,175.95,76147429,111.25,112.6425,107.171,108.859,105433820
2022-05-11,153.5,155.45,145.81,146.5,142689825,265.68,271.36,259.3,260.55,48975898,113.2365,116.36440999999999,113.2365,113.6025,37534740,173.47,177.53,165.68,166.3,67016703,108.10350000000001,110.15599999999999,104.42850000000001,105.372,109703640
2022-05-12,142.77,146.2,138.8,142.56,182602041,257.69,259.88,250.02,255.35,51033802,111.37750000000001,114.295,109.82449999999999,112.84400000000001,53836180,162.191,167.88,155.67,161.75,70872837,102.75,110.78074999999998,102.4055,106.93050000000001,132025140
2022-05-13,144.59,148.105,143.11,147.11,113990852,257.35,263.04,255.35,261.12,34925093,114.53299999999999,117.875,113.60501,116.05050000000001,35038480,167.88,179.2843,165.925,177.06,67043651,109.069,113.184,107.8,113.05499999999999,93684560
2022-05-16,145.55,147.5199,144.18,145.54,86643781,259.955,265.82,255.78,261.5,32550933,114.9555,116.17,113.8895,114.44500000000001,25990440,175.09,177.88,171.06,172.64,52144598,113.1,113.99249999999999,110.35414,110.8105,74565740
2022-05-17,148.86,149.77,146.68,149.24,78336254,266.11,268.33,262.46,266.82,28828799,116.84049999999999,116.9,114.86975,116.473,23053160,180.74,183.71,176.34,181.77,58582971,113.275,115.8,111.27650000000001,115.3685,76447740
2022-05-18,146.85,147.3601,139.9,140.82,109742890,263.0,263.6,252.77,254.08,31355985,115.0,115.4,111.55550000000001,111.89949999999999,35125980,177.05,181.18,168.64,169.38,54516106,111.4395,112.853,106.24875,107.1125,108379180
2022-05-19,139.88,141.66,136.6,137.35,136095640,253.9,257.67,251.88,253.14,32692286,111.4315,113.00999999999999,110.0,110.38399999999999,34144400,169.37,176.87,167.3405,171.24,62130959,106.2805,110.03399999999999,106.19291000000001,107.319,88142540
